page,source_file,source_dimensions,output_dimensions,jpg_file,webp_file,jpg_bytes,webp_bytes
1,storeys-000.jpg,1755x1170,3840x2560,STOREYS_Page_01_4K.jpg,STOREYS_Page_01_4K.webp,1862458,809952
2,storeys-001.jpg,1169x1754,2559x3840,STOREYS_Page_02_4K.jpg,STOREYS_Page_02_4K.webp,2232818,1135430
3,storeys-002.jpg,1170x1755,2560x3840,STOREYS_Page_03_4K.jpg,STOREYS_Page_03_4K.webp,1917223,890128
4,storeys-003.jp2,1238x1719,2766x3840,STOREYS_Page_04_4K.jpg,STOREYS_Page_04_4K.webp,1876494,799054
5,storeys-004.jp2,1169x1754,2559x3840,STOREYS_Page_05_4K.jpg,STOREYS_Page_05_4K.webp,1815348,717100
6,storeys-005.jp2,1170x1756,2559x3840,STOREYS_Page_06_4K.jpg,STOREYS_Page_06_4K.webp,1780185,682344
7,storeys-006.jpg,1170x1755,2560x3840,STOREYS_Page_07_4K.jpg,STOREYS_Page_07_4K.webp,2078644,990888
8,storeys-007.jpg,1171x1755,2562x3840,STOREYS_Page_08_4K.jpg,STOREYS_Page_08_4K.webp,1888266,787418
9,storeys-008.jpg,1169x1754,2559x3840,STOREYS_Page_09_4K.jpg,STOREYS_Page_09_4K.webp,2025884,917550
10,storeys-009.jp2,1170x1754,2561x3840,STOREYS_Page_10_4K.jpg,STOREYS_Page_10_4K.webp,1594993,541160
11,storeys-010.jp2,1170x1755,2560x3840,STOREYS_Page_11_4K.jpg,STOREYS_Page_11_4K.webp,1689568,643740
12,storeys-011.jpg,1223x1756,2674x3840,STOREYS_Page_12_4K.jpg,STOREYS_Page_12_4K.webp,2423634,1155138
13,storeys-012.jpg,1170x1755,2560x3840,STOREYS_Page_13_4K.jpg,STOREYS_Page_13_4K.webp,2176405,1044756
14,storeys-013.jp2,1169x1754,2559x3840,STOREYS_Page_14_4K.jpg,STOREYS_Page_14_4K.webp,1339065,426010
15,storeys-014.jp2,1169x1754,2559x3840,STOREYS_Page_15_4K.jpg,STOREYS_Page_15_4K.webp,1747344,659368
16,storeys-015.jp2,1169x1754,2559x3840,STOREYS_Page_16_4K.jpg,STOREYS_Page_16_4K.webp,1390326,513496
17,storeys-016.jpg,1238x1650,2881x3840,STOREYS_Page_17_4K.jpg,STOREYS_Page_17_4K.webp,1897412,671546
18,storeys-017.jpg,1756x1171,3840x2561,STOREYS_Page_18_4K.jpg,STOREYS_Page_18_4K.webp,2001041,947084
19,storeys-018.jpg,1238x1650,2881x3840,STOREYS_Page_19_4K.jpg,STOREYS_Page_19_4K.webp,2290348,1118320
